"Dublin.Core.Title","Dublin.Core.Description","Dublin.Core.Creator","Dublin.Core.Date","Dublin.Core.Identifier","Dublin.Core.Rights","Dublin.Core.Type","Dublin.Core.Format","twitter_query","twitter_ids_count","twitter_links_count","indexed_links_count","files"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-05-19","05329f7b00cf99f279aecbaf386ca8be","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","bitcoin",2047,252,193,"https://aspw.pl/aspw_temp/05329f7b00cf99f279aecbaf386ca8be/all_tweets_id.csv;https://aspw.pl/aspw_temp/05329f7b00cf99f279aecbaf386ca8be/domains.json;https://aspw.pl/aspw_temp/05329f7b00cf99f279aecbaf386ca8be/twitter_links.csv;https://aspw.pl/aspw_temp/05329f7b00cf99f279aecbaf386ca8be/meta.csv;https://aspw.pl/aspw_temp/05329f7b00cf99f279aecbaf386ca8be/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-25","06eaa1bcf8dbab44ab979e3baf859c30","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","burza",16087,199,166,"https://aspw.pl/aspw_temp/06eaa1bcf8dbab44ab979e3baf859c30/all_tweets_id.csv;https://aspw.pl/aspw_temp/06eaa1bcf8dbab44ab979e3baf859c30/domains.json;https://aspw.pl/aspw_temp/06eaa1bcf8dbab44ab979e3baf859c30/twitter_links.csv;https://aspw.pl/aspw_temp/06eaa1bcf8dbab44ab979e3baf859c30/meta.csv;https://aspw.pl/aspw_temp/06eaa1bcf8dbab44ab979e3baf859c30/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-08-06","071b37314f6756effdd0d0aff9c255f2","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Niemcy",25225,444,415,"https://aspw.pl/aspw_temp/071b37314f6756effdd0d0aff9c255f2/all_tweets_id.csv;https://aspw.pl/aspw_temp/071b37314f6756effdd0d0aff9c255f2/domains.json;https://aspw.pl/aspw_temp/071b37314f6756effdd0d0aff9c255f2/twitter_links.csv;https://aspw.pl/aspw_temp/071b37314f6756effdd0d0aff9c255f2/meta.csv;https://aspw.pl/aspw_temp/071b37314f6756effdd0d0aff9c255f2/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-03-20","083ec081d31db7b56da3578e97e9e52b","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","lockdown",8892,307,259,"https://aspw.pl/aspw_temp/083ec081d31db7b56da3578e97e9e52b/all_tweets_id.csv;https://aspw.pl/aspw_temp/083ec081d31db7b56da3578e97e9e52b/domains.json;https://aspw.pl/aspw_temp/083ec081d31db7b56da3578e97e9e52b/twitter_links.csv;https://aspw.pl/aspw_temp/083ec081d31db7b56da3578e97e9e52b/meta.csv;https://aspw.pl/aspw_temp/083ec081d31db7b56da3578e97e9e52b/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-03","089662f9d1aabe637a60ef126781885a","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Polska",50000,1422,1259,"https://aspw.pl/aspw_temp/089662f9d1aabe637a60ef126781885a/all_tweets_id.csv;https://aspw.pl/aspw_temp/089662f9d1aabe637a60ef126781885a/domains.json;https://aspw.pl/aspw_temp/089662f9d1aabe637a60ef126781885a/twitter_links.csv;https://aspw.pl/aspw_temp/089662f9d1aabe637a60ef126781885a/meta.csv;https://aspw.pl/aspw_temp/089662f9d1aabe637a60ef126781885a/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-05-06","09737251d10340466f96e644052a7dd0","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Kaczyński",19671,315,281,"https://aspw.pl/aspw_temp/09737251d10340466f96e644052a7dd0/all_tweets_id.csv;https://aspw.pl/aspw_temp/09737251d10340466f96e644052a7dd0/domains.json;https://aspw.pl/aspw_temp/09737251d10340466f96e644052a7dd0/twitter_links.csv;https://aspw.pl/aspw_temp/09737251d10340466f96e644052a7dd0/meta.csv;https://aspw.pl/aspw_temp/09737251d10340466f96e644052a7dd0/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-02-11","0cd7cad41b4f1432cfab2ce9ac194552","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","koronawirus",11640,1712,1423,"https://aspw.pl/aspw_temp/0cd7cad41b4f1432cfab2ce9ac194552/all_tweets_id.csv;https://aspw.pl/aspw_temp/0cd7cad41b4f1432cfab2ce9ac194552/domains.json;https://aspw.pl/aspw_temp/0cd7cad41b4f1432cfab2ce9ac194552/twitter_links.csv;https://aspw.pl/aspw_temp/0cd7cad41b4f1432cfab2ce9ac194552/meta.csv;https://aspw.pl/aspw_temp/0cd7cad41b4f1432cfab2ce9ac194552/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-04-29","0e1d5ca99799955527350374a4dbefe6","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","LGBT",14138,196,185,"https://aspw.pl/aspw_temp/0e1d5ca99799955527350374a4dbefe6/all_tweets_id.csv;https://aspw.pl/aspw_temp/0e1d5ca99799955527350374a4dbefe6/domains.json;https://aspw.pl/aspw_temp/0e1d5ca99799955527350374a4dbefe6/twitter_links.csv;https://aspw.pl/aspw_temp/0e1d5ca99799955527350374a4dbefe6/meta.csv;https://aspw.pl/aspw_temp/0e1d5ca99799955527350374a4dbefe6/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-13","0e43033f93d23d07c83378d03e8a9055","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Rzeszów",9447,290,231,"https://aspw.pl/aspw_temp/0e43033f93d23d07c83378d03e8a9055/all_tweets_id.csv;https://aspw.pl/aspw_temp/0e43033f93d23d07c83378d03e8a9055/domains.json;https://aspw.pl/aspw_temp/0e43033f93d23d07c83378d03e8a9055/twitter_links.csv;https://aspw.pl/aspw_temp/0e43033f93d23d07c83378d03e8a9055/meta.csv;https://aspw.pl/aspw_temp/0e43033f93d23d07c83378d03e8a9055/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-05-07","0e888789f98f80d2b3db8f1b6f3c14e8","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","lewica",116278,542,492,"https://aspw.pl/aspw_temp/0e888789f98f80d2b3db8f1b6f3c14e8/all_tweets_id.csv;https://aspw.pl/aspw_temp/0e888789f98f80d2b3db8f1b6f3c14e8/domains.json;https://aspw.pl/aspw_temp/0e888789f98f80d2b3db8f1b6f3c14e8/twitter_links.csv;https://aspw.pl/aspw_temp/0e888789f98f80d2b3db8f1b6f3c14e8/meta.csv;https://aspw.pl/aspw_temp/0e888789f98f80d2b3db8f1b6f3c14e8/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-20","0f20356feb80eb4ee36d2938863dd767","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","uchodźcy",2146,38,32,"https://aspw.pl/aspw_temp/0f20356feb80eb4ee36d2938863dd767/all_tweets_id.csv;https://aspw.pl/aspw_temp/0f20356feb80eb4ee36d2938863dd767/domains.json;https://aspw.pl/aspw_temp/0f20356feb80eb4ee36d2938863dd767/twitter_links.csv;https://aspw.pl/aspw_temp/0f20356feb80eb4ee36d2938863dd767/meta.csv;https://aspw.pl/aspw_temp/0f20356feb80eb4ee36d2938863dd767/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2020-11-24","1007c3dac4642a14913b08bf8ee68fa6","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","kwarantanna",4182,96,83,"https://aspw.pl/aspw_temp/1007c3dac4642a14913b08bf8ee68fa6/all_tweets_id.csv;https://aspw.pl/aspw_temp/1007c3dac4642a14913b08bf8ee68fa6/domains.json;https://aspw.pl/aspw_temp/1007c3dac4642a14913b08bf8ee68fa6/twitter_links.csv;https://aspw.pl/aspw_temp/1007c3dac4642a14913b08bf8ee68fa6/meta.csv;https://aspw.pl/aspw_temp/1007c3dac4642a14913b08bf8ee68fa6/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-01-28","1030ae5f2f422f2b94a0d7382b350904","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","#PiekloKobiet",5918,26,24,"https://aspw.pl/aspw_temp/1030ae5f2f422f2b94a0d7382b350904/all_tweets_id.csv;https://aspw.pl/aspw_temp/1030ae5f2f422f2b94a0d7382b350904/domains.json;https://aspw.pl/aspw_temp/1030ae5f2f422f2b94a0d7382b350904/twitter_links.csv;https://aspw.pl/aspw_temp/1030ae5f2f422f2b94a0d7382b350904/meta.csv;https://aspw.pl/aspw_temp/1030ae5f2f422f2b94a0d7382b350904/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-10-08","10cfbd24d8d96b7fc52c61bf8d5e6831","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","inflacja",4185,97,83,"https://aspw.pl/aspw_temp/10cfbd24d8d96b7fc52c61bf8d5e6831/all_tweets_id.csv;https://aspw.pl/aspw_temp/10cfbd24d8d96b7fc52c61bf8d5e6831/domains.json;https://aspw.pl/aspw_temp/10cfbd24d8d96b7fc52c61bf8d5e6831/twitter_links.csv;https://aspw.pl/aspw_temp/10cfbd24d8d96b7fc52c61bf8d5e6831/meta.csv;https://aspw.pl/aspw_temp/10cfbd24d8d96b7fc52c61bf8d5e6831/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-11","10e2aa4deb61688c391fc11d48d856d5","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","LGBT",3205,61,55,"https://aspw.pl/aspw_temp/10e2aa4deb61688c391fc11d48d856d5/all_tweets_id.csv;https://aspw.pl/aspw_temp/10e2aa4deb61688c391fc11d48d856d5/domains.json;https://aspw.pl/aspw_temp/10e2aa4deb61688c391fc11d48d856d5/twitter_links.csv;https://aspw.pl/aspw_temp/10e2aa4deb61688c391fc11d48d856d5/meta.csv;https://aspw.pl/aspw_temp/10e2aa4deb61688c391fc11d48d856d5/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-08-03","134157fdf601150d1fbd2774cc02b23b","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Polska",21752,824,750,"https://aspw.pl/aspw_temp/134157fdf601150d1fbd2774cc02b23b/all_tweets_id.csv;https://aspw.pl/aspw_temp/134157fdf601150d1fbd2774cc02b23b/domains.json;https://aspw.pl/aspw_temp/134157fdf601150d1fbd2774cc02b23b/twitter_links.csv;https://aspw.pl/aspw_temp/134157fdf601150d1fbd2774cc02b23b/meta.csv;https://aspw.pl/aspw_temp/134157fdf601150d1fbd2774cc02b23b/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-13","1348207bdf5a4c1f4cde4e116b65a8d5","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","senat",2823,140,133,"https://aspw.pl/aspw_temp/1348207bdf5a4c1f4cde4e116b65a8d5/all_tweets_id.csv;https://aspw.pl/aspw_temp/1348207bdf5a4c1f4cde4e116b65a8d5/domains.json;https://aspw.pl/aspw_temp/1348207bdf5a4c1f4cde4e116b65a8d5/twitter_links.csv;https://aspw.pl/aspw_temp/1348207bdf5a4c1f4cde4e116b65a8d5/meta.csv;https://aspw.pl/aspw_temp/1348207bdf5a4c1f4cde4e116b65a8d5/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2020-11-12","152cbb3a0ac3da76338fd8ad450e90a5","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Marsz Niepodległości",10000,349,188,"https://aspw.pl/aspw_temp/152cbb3a0ac3da76338fd8ad450e90a5/all_tweets_id.csv;https://aspw.pl/aspw_temp/152cbb3a0ac3da76338fd8ad450e90a5/domains.json;https://aspw.pl/aspw_temp/152cbb3a0ac3da76338fd8ad450e90a5/twitter_links.csv;https://aspw.pl/aspw_temp/152cbb3a0ac3da76338fd8ad450e90a5/meta.csv;https://aspw.pl/aspw_temp/152cbb3a0ac3da76338fd8ad450e90a5/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-06-30","156ca23a64fbbd5fb5c8531d62ea9df4","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","Polska",45269,1441,1227,"https://aspw.pl/aspw_temp/156ca23a64fbbd5fb5c8531d62ea9df4/all_tweets_id.csv;https://aspw.pl/aspw_temp/156ca23a64fbbd5fb5c8531d62ea9df4/domains.json;https://aspw.pl/aspw_temp/156ca23a64fbbd5fb5c8531d62ea9df4/twitter_links.csv;https://aspw.pl/aspw_temp/156ca23a64fbbd5fb5c8531d62ea9df4/meta.csv;https://aspw.pl/aspw_temp/156ca23a64fbbd5fb5c8531d62ea9df4/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-09-22","15fe23848a8a221491763b6776d6042e","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","uchodźcy",2131,25,23,"https://aspw.pl/aspw_temp/15fe23848a8a221491763b6776d6042e/all_tweets_id.csv;https://aspw.pl/aspw_temp/15fe23848a8a221491763b6776d6042e/domains.json;https://aspw.pl/aspw_temp/15fe23848a8a221491763b6776d6042e/twitter_links.csv;https://aspw.pl/aspw_temp/15fe23848a8a221491763b6776d6042e/meta.csv;https://aspw.pl/aspw_temp/15fe23848a8a221491763b6776d6042e/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-01-27","16a2dcab0ec4d1a43e0611be8961af85","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","koronawirus",13826,1924,1621,"https://aspw.pl/aspw_temp/16a2dcab0ec4d1a43e0611be8961af85/all_tweets_id.csv;https://aspw.pl/aspw_temp/16a2dcab0ec4d1a43e0611be8961af85/domains.json;https://aspw.pl/aspw_temp/16a2dcab0ec4d1a43e0611be8961af85/twitter_links.csv;https://aspw.pl/aspw_temp/16a2dcab0ec4d1a43e0611be8961af85/meta.csv;https://aspw.pl/aspw_temp/16a2dcab0ec4d1a43e0611be8961af85/base_index.json"
"Otwarte dane ASPW","Otwarty zbiór identyfikatorów tweetów, adresów URL i metadanych stron.","Archiwum Społeczne Polskiego Webu (ASPW)","2021-05-22","17123489255310c5c53d9ed8420168a9","Archiwum Społeczne Polskiego Webu$Open Data Commons Attribution License (ODC-By)$https://opendatacommons.org/licenses/by/summary/","zbiór danych","text/csv$application/json","tvp",23120,786,653,"https://aspw.pl/aspw_temp/17123489255310c5c53d9ed8420168a9/all_tweets_id.csv;https://aspw.pl/aspw_temp/17123489255310c5c53d9ed8420168a9/domains.json;https://aspw.pl/aspw_temp/17123489255310c5c53d9ed8420168a9/twitter_links.csv;https://aspw.pl/aspw_temp/17123489255310c5c53d9ed8420168a9/meta.csv;https://aspw.pl/aspw_temp/17123489255310c5c53d9ed8420168a9/base_index.json"
